;;Mentioned in study;;;;;;;;;;;;;;;;;;;;Presented model as primary;;;;;;;Discussed in detail;;;;;;;;;Models comparison performed;;;;;;;;;;;;;;;;Models used in practice;;;;;;;
Sr.;CITATIONS;TMMi;TPI Next;MPT.Br;Test SPICE;TAIM;MMSST;CTMM;MND-TMM;TPI-EI;STEP;AQAM;ASTMM;ATMM;CTP;MPTA.BR;PTMM;TIM;UTMM;TPI;TMM;TMMi;TPI Next;MPT.Br;TAIM;MMSST;TPI;TMM;TMMi;TPI Next;MPT.Br;TAIM;MMSST;STEP;CTP;TPI;TMM;TMMi;TPI-NEXT;MPT.BR;Test SPICE;CTMM;MND-TMM;ASTMM;ATMM;TIM;UTMM;TPI;TMM;DO-178C;KMM;CMMI;CMM;TMMi;TPI Next;MPT.Br;MND-TMM;TAIM;MMSST;TPI;TMM
;;52;17;5;9;4;1;1;1;3;3;2;4;3;5;1;4;4;5;27;23;16;1;2;1;1;5;4;24;3;2;2;1;1;1;4;4;7;6;1;4;1;1;1;1;1;1;1;3;1;2;1;2;18;2;5;1;2;1;1;1
1;Garousi, V., van Veenendaal, E., & Felderer, M. (2021). Motivations for and benefits of adopting the Test Maturity Model integration (TMMi): An international survey.;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
2;Albert, L., Szabó, O. M., van Veenendaal, E., & Hargitai, Z. (2021). The story of DACHS’Informal TMMi Assessment.;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
3;Othman, T. T. M. Web Based Tools to Automate Software Quality Assurance Models: A Review Article.;-;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Güngör, G., & Tarhan, A. K. (2023). A Maturity Model Guidance Approach for Integration Testing of Avionics Software. In IWSM-Mensura.;1;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;
5;Eldh, S. (2020, October). Test automation improvement model-TAIM 2.0. In 2020 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW) (pp. 334-337). IEEE.;1;;;;1;;;;;;;;;;;;;;1;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
6;Garousi, V., & van Veenendaal, E. (2021). Test maturity model integration: Trends of worldwide test maturity and certifications. IEEE Software, 39(2), 71-79.;1;1;;;;;;;;;;1;;;;;;1;;1;1;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;
7;Bian, Z. (2020). Test automation process assessment.;1;1;;;1;;;;;1;;;;1;;1;;;1;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
8;Wang, Y., Pyhäjärvi, M., & Mäntylä, M. V. (2020, October). Test automation process improvement in a DevOps team: experience report. In 2020 ieee international conference on software testing, verification and validation workshops (icstw) (pp. 314-321). IEEE.;-;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Garousi, V., Keleş, A. B., Balaman, Y., Güler, Z. Ö., & Arcuri, A. (2021). Model-based testing in practice: An experience report from the web applications domain. Journal of Systems and Software, 180, 111032.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Rahman, M. H., Rahman, Z., Al-Mustanjid, M., Uddin, M. S., & Jany, M. H. R. (2020, February). Software process improvement based on defect prevention using capability and testing model integration in extreme programming. In International Conference on Cyber Security and Computer Science (pp. 270-279). Cham: Springer International Publishing.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
11;Jang, J. W. (2023). Suggestion on the Software Quality Driving Test Process Improvement. 한국정보기술학회논문지, 21(4), 107-115.;-;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;
