SR.;MODEL;COMPLETE MODEL DEFINITION
1;TMMi;TMMi Foundation. Test Maturity Model integration (TMMi), Release 1.0, 2012
2;TPI NEXT;Alexander van Ewijk, Bert Linker, Marcei van Oosterwijk, Ben Visser, Gerrit de Vries, Loek Wilheimus, Rik Marselis. TPI NEXT Business Driven Test Process Improvement. Sogeti, 2013
3;MPT.Br;Furtado, A. P. C. C., Gomes, M. A. W., Andrade, E. C., & de Farias Junior, I. H. (2012, August). MPT. BR: A Brazilian maturity model for testing. In 2012 12th International Conference on Quality Software (pp. 220-229). IEEE.
4;TAIM;Eldh, S., Andersson, K., Ermedahl, A., & Wiklund, K. (2014, March). Towards a test automation improvement model (TAIM). In 2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops (pp. 337-342). IEEE.
5;TestSPICE;Schweigert, T., Nehfort, A., & Ekssir-Monfared, M. (2014). The feature set of TestSPICE 3.0. In Systems, Software and Services Process Improvement: 21st European Conference, EuroSPI 2014, Luxembourg, June 25-27, 2014. Proceedings 21 (pp. 309-316). Springer Berlin Heidelberg.
6;MND-TMM;Ryu, H., Ryu, D. K., & Baik, J. (2008, May). A strategic test process improvement approach using an ontological description for MND-TMM. In Seventh IEEE/ACIS International Conference on Computer and Information Science (icis 2008) (pp. 561-566). IEEE.
7;CTMM;Silkin, G., Bodrov, O., Ovechkin, G., Bodrova, I., & Baranova, S. (2021, June). Continuous Testing Maturity Model. In 2021 10th Mediterranean Conference on Embedded Computing (MECO) (pp. 1-4). IEEE.
8;MMSST;Alam, G., Mahmood, S., Alshayeb, M., Niazi, M., & Zafar, S. (2024). Maturity model for secure software testing. Journal of Software: Evolution and Process, 36(5), e2593.
9;TPI-EI;Lee, C. (2009, November). Adapting and adjusting test process reflecting characteristics of embedded software and industrial properties based on referential models. In Proceedings of the 2nd International Conference on Interaction Sciences: Information Technology, Culture and Human (pp. 1372-1377).
10;STEP;Sulaiman, N. A., Kassim, M., & Saaidin, S. (2010, June). Systematic test and evaluation process (STEP) approach on shared banking services (SBS) system identification. In 2010 2nd International Conference on Education Technology and Computer (Vol. 5, pp. V5-219). IEEE.
11;AQAM;Not available
12;ASTMM;Not available
13;ATMM;Not available
14;CTP;Not available
15;UTMM;Not available
;;
SR.;MODEL(S);PAPER DESCRIBING THE MODEL(S)
1;AQAM, ASTMM, ATMM, UTMM;Garousi, V., Felderer, M., & Hacaloğlu, T. (2017). What we know about software test maturity and test process improvement. Ieee Software, 35(1), 84-92.
2;MPTA.Br;Furtado, A. P. C. C., Meira, S., & Gomes, M. (2014). Towards a maturity model in software testing automation. In The Ninth International Conference on Software Engineering Advances (pp. 282-285).
3;PTMM;Reid, S. (2006). The personal test maturity matrix. CAST 2006: Influencing the Practice June 5th-7th, 2006–Indianapolis, 133.
4;TIM;Ericson, T., Subotic, A., & Ursing, S. (1997). TIM—a test improvement model. Software Testing, Verification and Reliability, 7(4), 229-246.
